Approved symbol	Alias symbol	Previous symbol
ABHD12	ABHD12A	C20orf22
ABHD12B	BEM46L3	C14orf29
ABHD13	bA153I24.2	C13orf6
ABHD13	FLJ14906	C13orf6
ABHD13	BEM46L1	C13orf6
ABHD14A	DKFZP564O243	
ABHD14A	DORZ1	
ABHD14A-ACY1		
ABHD14B	MGC15429	
ABHD14B	CIB	
ABHD15		
ABHD15-AS1	linc-TP53I13	
ABHD15-AS1	lnc-TP53I13	
ABHD16A	NG26	BAT5
ABHD16A	D6S82E	BAT5
ABHD16B	dJ591C20.1	C20orf135
ABHD17A	MGC5244	C19orf27
ABHD17A	MGC5244	FAM108A1
ABHD17AP1	C1orf47	FAM108A2
ABHD17AP1	C1orf47	ABHD17AP2
ABHD17AP1	C1orf47	FAM108A3
ABHD17AP1	C1orf47	FAM108A11P
ABHD17AP1	C1orf47	FAM108A3P
ABHD17AP3		FAM108A4
ABHD17AP3		FAM108A4P
ABHD17AP4		FAM108A5
ABHD17AP4		FAM108A5P
ABHD17AP5		FAM108A6
ABHD17AP5		FAM108A6P
ABHD17AP6		FAM108A7P
ABHD17AP7		FAM108A8P
ABHD17AP8		FAM108A9P
ABHD17AP9		FAM108A10P
ABHD17B	CGI-67	C9orf77
ABHD17B	CGI-67	FAM108B1
ABHD17C		FAM108C1
ABI1	E3B1	SSH3BP1
ABI1	ABI-1	SSH3BP1
ABI1P1		SSH3BP1P
ABI1P1		ABI1P
ABI2	ABI-2	
ABI2	AIP-1	
ABI2	ABI2B	
ABI2	AblBP3	
ABI2	argBPIA	
ABI2	SSH3BP2	
ABI3	NESH	
ABI3	SSH3BP3	
ABI3BP	NESHBP	
ABI3BP	DKFZP586L2024	
ABI3BP	TARSH	
ABL1	JTK7	ABL
ABL1	c-ABL	ABL
ABL1	p150	ABL
ABL2	ARG	ABLL
ABLIM1	abLIM	LIMAB1
ABLIM1	abLIM	ABLIM
ABLIM1	limatin	LIMAB1
ABLIM1	limatin	ABLIM
ABLIM2	KIAA1808	
ABLIM3	KIAA0843	
ABO	A3GALNT	
ABO	A3GALT1	
ABR	MDB	
ABRA	STARS	
ABRACL	PRO2013	C6orf115
ABRACL	HSPC280	C6orf115
ABRACL	Costars	C6orf115
ABT1		
ABT1P1		
ABTB1	BPOZ	
ABTB1	EF1ABP	
ABTB1	Btb3	
ABTB1	BTBD21	
ABTB2	DKFZP586C1619	
ABTB2	BTBD22	
ABTB2	ABTB2A	
ACAA1		
ACAA2	DSAEC	
ACACA	ACC1	ACAC
ACACA	ACC1	ACC
ACACB	HACC275	
ACACB	ACC2	
ACACB	ACCB	
ACAD8		
ACAD9	NPD002	
ACAD9	MGC14452	
ACAD10	MGC5601	
ACAD11	FLJ12592	
ACADL	LCAD	
ACADL	ACAD4	
ACADM	MCAD	
ACADM	MCADH	
ACADM	ACAD1	
ACADS	SCAD	
ACADS	ACAD3	
ACADSB	SBCAD	
ACADSB	ACAD7	
ACADVL	VLCAD	
ACADVL	LCACD	
ACADVL	ACAD6	
ACAN	CSPGCP	MSK16
ACAN	CSPGCP	CSPG1
ACAN	CSPGCP	AGC1
ACAP1	KIAA0050	CENTB1
ACAP2	KIAA0041	CENTB2
ACAP2	CNT-B2	CENTB2
ACAP2-IT1		
ACAP3	KIAA1716	CENTB5
ACAT1	THIL	ACAT
ACAT2		
ACBD3	GCP60	GOLPH1
ACBD3	GCP60	GOCAP1
ACBD3	PAP7	GOLPH1
ACBD3	PAP7	GOCAP1
ACBD4	FLJ13322	
ACBD5	DKFZp434A2417	
ACBD5	KIAA1996	
ACBD6	MGC2404	
ACBD7	FLJ38219	
ACBD7	bA455B2.2	
ACCS	PHACS	
ACCS	ACS	
ACCSL		
ACD	Ptop	
ACD	Pip1	
ACD	Tpp1	
ACD	Tint1	
ACE	ACE1	DCP1
ACE	CD143	DCP1
ACE2		
ACE3P		
ACER1		ASAH3
ACER2	FLJ41587	ASAH3L
ACER3	FLJ11238	PHCA
ACER3	APHC	PHCA
ACHE		YT
ACIN1	KIAA0670	ACINUS
ACIN1	fSAP152	ACINUS
ACKR1	CCBP1	FY
ACKR1	CCBP1	DARC
ACKR1	GPD	FY
ACKR1	GPD	DARC
ACKR1	Dfy	FY
ACKR1	Dfy	DARC
ACKR1	CD234	FY
ACKR1	CD234	DARC
ACKR2	CCR10	CMKBR9
ACKR2	CCR10	CCBP2
ACKR2	D6	CMKBR9
ACKR2	D6	CCBP2
ACKR2	CCR9	CMKBR9
ACKR2	CCR9	CCBP2
ACKR3	RDC1	CMKOR1
ACKR3	RDC1	CXCR7
ACKR3	GPR159	CMKOR1
ACKR3	GPR159	CXCR7
ACKR4	CCR11	CCRL1
ACKR4	CCBP2	CCRL1
ACKR4	VSHK1	CCRL1
ACKR4	CCX-CKR	CCRL1
ACKR4	PPR1	CCRL1
ACLS		
ACLY	ATPCL	
ACLY	CLATP	
ACLY	ACL	
ACMSD		
ACO1	IRP1	IREB1
ACO1	IREBP	IREB1
ACO2	ACONM	
ACOT1	ACH2	
ACOT1	CTE-1	
ACOT1	LACH2	
ACOT2	Mte1	
ACOT2	ZAP128	
ACOT4	FLJ31235	
ACOT4	PTE-Ib	
ACOT4	PTE2B	
ACOT6		C14orf42
ACOT7	BACH	
ACOT7	ACH1	
ACOT7	ACT	
ACOT7	CTE-II	
ACOT7	LACH1	
ACOT7	MGC1126	
ACOT7	hBACH	
ACOT8	hACTE-III	PTE1
ACOT8	hTE	PTE1
ACOT8	PTE-2	PTE1
ACOT8	NAP1	PTE1
ACOT9	CGI-16	
ACOT9	MT-ACT48	
ACOT9	ACATE2	
ACOT11	STARD14	THEA
ACOT11	BFIT	THEA
ACOT11	KIAA0707	THEA
ACOT11	BFIT1	THEA
ACOT11	THEM1	THEA
ACOT12	Cach	
ACOT12	THEAL	
ACOT12	STARD15	
ACOT13	HT012	THEM2
ACOX1	PALMCOX	
ACOX2	BRCACOX	
ACOX2	BRCOX	
ACOX2	THCCox	
ACOX3		
ACOXL	FLJ11042	
ACP1	HAAP	
ACP1	LMW-PTP	
ACP2	LAP	
ACP5	TRAP	
ACP5	HPAP	
ACP6	LPAP	
ACP6	ACPL1	
ACPP	ACP3	
ACPP	ACP-3	
ACPP	PAP	
ACPT		
ACR		
ACRBP	SP32	
ACRBP	OY-TES-1	
ACRBP	CT23	
ACRC		
ACRV1	SPACA2	
ACRV1	SP-10	
ACRV1	D11S4365	
ACSBG1	BGM	
ACSBG1	FLJ30320	
ACSBG1	MGC14352	
ACSBG1	BG1	
ACSBG1	KIAA0631	
ACSBG1	hBG1	
ACSBG1	hsBG	
ACSBG2	BGR	
ACSBG2	PRTD-NY3	
ACSBG2	DKFZp434K1635	
ACSF2	FLJ20920	
ACSF2	ACSMW	
ACSF3		
ACSL1	LACS2	FACL2
ACSL1	LACS	FACL2
ACSL1	ACS1	FACL2
ACSL1	LACS1	FACL2
ACSL1	FACL1	FACL2
ACSL3	ACS3	FACL3
ACSL3	PRO2194	FACL3
ACSL4	ACS4	FACL4
ACSL4	ACS4	MRX63
ACSL4	ACS4	MRX68
ACSL4	LACS4	FACL4
ACSL4	LACS4	MRX63
ACSL4	LACS4	MRX68
ACSL5	ACS5	FACL5
ACSL5	ACS2	FACL5
ACSL6	KIAA0837	FACL6
ACSL6	ACS2	FACL6
ACSL6	LACS5	FACL6
ACSL6	LACS2	FACL6
ACSM1	MACS1	BUCS1
ACSM2A	A-923A4.1	ACSM2
ACSM2A	MGC150530	ACSM2
ACSM2B	HXMA	ACSM2
ACSM2B	HYST1046	ACSM2
ACSM3	SA	SAH
ACSM4		
ACSM5	FLJ20581	
ACSM5P1		
ACSM6	bA310E22.3	C10orf129
ACSS1	dJ568C11.3	ACAS2L
ACSS1	AceCS2L	ACAS2L
ACSS1	MGC33843	ACAS2L
ACSS2	ACS	ACAS2
ACSS2	ACSA	ACAS2
ACSS2	AceCS	ACAS2
ACSS2	dJ1161H23.1	ACAS2
ACSS3	FLJ21963	
ACTA1	NEM3	ACTA
ACTA2	ACTSA	
ACTA2-AS1	uc001kfo.1	
ACTA2-AS1	ZXF1	
ACTB		
ACTBL2	DKFZp686D0972	
ACTBP1		
ACTBP2		
ACTBP3		
ACTBP4		
ACTBP6		
ACTBP7		
ACTBP9		
ACTBP10		
ACTBP11		
ACTBP12		ACTGP5
ACTBP13		
ACTBP14		
ACTC1	CMD1R	ACTC
ACTG1		ACTG
ACTG1		DFNA20
ACTG1		DFNA26
ACTG1P1		ACTGP1
ACTG1P1		ACT1GP1
ACTG1P2		ACTL2
ACTG1P2		ACTGP2
ACTG1P3		ACTGP3
ACTG1P4		ACTGP4
ACTG1P6		ACTGP6
ACTG1P7		ACTGP7
ACTG1P8		ACTGP8
ACTG1P9		ACTGP9
ACTG1P10		ACTL1
ACTG1P10		ACTGP10
ACTG1P11		
ACTG1P12		
ACTG1P13		
ACTG1P14		
ACTG1P15		
ACTG1P16		
ACTG1P17		
ACTG1P18		
ACTG1P19		
ACTG1P20		
ACTG1P21		
ACTG1P22		
ACTG1P23		
ACTG1P24		POTENP
ACTG2	ACTSG	ACTL3
ACTG2	ACTSG	ACTA3
ACTL6A	Actl6	
ACTL6A	BAF53A	
ACTL6A	Arp4	
ACTL6A	Baf53a	
ACTL6A	INO80K	
ACTL6B	BAF53B	ACTL6
ACTL7A		
ACTL7B	Tact1	
ACTL8	CT57	
ACTL9	MGC33407	
ACTL10		C20orf134
ACTN1		
ACTN1-AS1		C14orf84
ACTN2		
ACTN3		
ACTN4		FSGS1
ACTN4P1		
ACTN4P2		
ACTR1A	ARP1	
ACTR1A	Arp1A	
ACTR1B	Arp1B	CTRN2
ACTR2	ARP2	
ACTR3	ARP3	
ACTR3B	ARP11	
ACTR3B	ARP3beta	
ACTR3BP1		
ACTR3BP2	FKSG73	
ACTR3BP3		
ACTR3BP4		
ACTR3BP5		
ACTR3BP6		
ACTR3C	ARP11	
ACTR3P1		
ACTR3P2		
ACTR3P3		
ACTR5	FLJ12785	
ACTR5	Arp5	
ACTR5	INO80M	
ACTR6	ARP6	
ACTR6	FLJ13433	
ACTR6P1		
ACTR8	INO80N	
ACTR10	HARP11	
ACTR10	ACTR11	
ACTR10	Arp11	
ACTR10	Arp10	
ACTRT1	AIP1	
ACTRT1	KIAA0705	
ACTRT1	ARIP1	
ACTRT1	Arp-T1	
ACTRT2	Arp-T2	
ACTRT2	ARPM2	
ACTRT2	FLJ25424	
ACTRT3	ARPM1	
ACVR1	SKR1	ACVRLK2
ACVR1	ALK2	ACVRLK2
ACVR1	ACVR1A	ACVRLK2
ACVR1B	ALK4	ACVRLK4
ACVR1B	SKR2	ACVRLK4
ACVR1B	ActRIB	ACVRLK4
ACVR1C	ALK7	
ACVR1C	ACVRLK7	
ACVR2A	ACTRII	ACVR2
ACVR2B	ActR-IIB	
ACVR2B-AS1		
ACVRL1	HHT2	ACVRLK1
ACVRL1	HHT2	ORW2
ACVRL1	ALK1	ACVRLK1
ACVRL1	ALK1	ORW2
ACVRL1	HHT	ACVRLK1
ACVRL1	HHT	ORW2
ACY1		
ACY3	HCBP1	
ACY3	MGC9740	
ACY3	ACY-3	
ACYP1		
ACYP2		
ADA		
ADAD1	Tenr	
ADAD1P1		
ADAD1P2		
ADAD2	TENRL	
ADAD2	FLJ00337	
ADAL		
ADAM1A	FTNAP	ADAM1
ADAM1A	PH-30a	ADAM1
ADAM1A	Ftna	ADAM1
ADAM1A	ADAM1P	ADAM1
ADAM1B		
ADAM2	PH-30b	FTNB
ADAM2	PH30	FTNB
ADAM2	CT15	FTNB
ADAM3A	ADAM3	CYRN1
ADAM3A	tMDCI	CYRN1
ADAM3B		CYRN2
ADAM5	tMDCII	ADAM5P
ADAM6	tMDCIV	C14orf96
ADAM7	GP-83	
ADAM7	EAPI	
ADAM8	CD156	
ADAM8	MS2	
ADAM8	CD156a	
ADAM9	MDC9	CORD9
ADAM9	KIAA0021	CORD9
ADAM9	MCMP	CORD9
ADAM9	Mltng	CORD9
ADAM10	kuz	
ADAM10	MADM	
ADAM10	HsT18717	
ADAM10	CD156c	
ADAM11		MDC
ADAM12	MCMPMltna	
ADAM12	MLTN	
ADAM15	MDC15	
ADAM17	cSVP	TACE
ADAM17	CD156B	TACE
ADAM18	tMDCIII	
ADAM18	ADAM27	
ADAM19	MLTNB	
ADAM20		
ADAM20P1		C14orf55
ADAM20P2		
ADAM20P3		
ADAM21	ADAM31	
ADAM21P1		ADAM21P
ADAM22	MDC2	
ADAM23	MDC3	
ADAM24P		
ADAM28	eMDCII	
ADAM28	MDC-Lm	
ADAM28	MDC-Ls	
ADAM28	ADAM23	
ADAM29	svph1	
ADAM29	CT73	
ADAM30	svph4	
ADAM32		
ADAM33	DKFZp434K0521	C20orf153
ADAM33	dJ964F7.1	C20orf153
ADAMDEC1	M12.219	
ADAMTS1	C3-C5	
ADAMTS1	METH1	
ADAMTS1	KIAA1346	
ADAMTS2	ADAMTS-3	
ADAMTS2	hPCPNI	
ADAMTS2	PCINP	
ADAMTS2	ADAM-TS2	
ADAMTS2	NPI	
ADAMTS3	KIAA0366	
ADAMTS3	ADAMTS-4	
ADAMTS4	KIAA0688	
ADAMTS4	ADAMTS-2	
ADAMTS4	ADMP-1	
ADAMTS5	ADMP-2	
ADAMTS5	ADAMTS11	
ADAMTS6	ADAM-TS6	
ADAMTS7	ADAM-TS7	
ADAMTS7	DKFZp434H204	
ADAMTS7P1		ADAMTS7P2
ADAMTS7P3		
ADAMTS7P4		
ADAMTS8	METH2	
ADAMTS8	FLJ41712	
ADAMTS8	ADAM-TS8	
ADAMTS9	KIAA1312	
ADAMTS9-AS1		
ADAMTS9-AS2		
ADAMTS10	ADAM-TS10	
ADAMTS12		
ADAMTS13	VWFCP	C9orf8
ADAMTS13	TTP	C9orf8
ADAMTS13	vWF-CP	C9orf8
ADAMTS13	FLJ42993	C9orf8
ADAMTS13	MGC118899	C9orf8
ADAMTS13	MGC118900	C9orf8
ADAMTS13	DKFZp434C2322	C9orf8
ADAMTS14		
ADAMTS15		
ADAMTS16	ADAMTS16s	
ADAMTS17	FLJ32769	
ADAMTS17	FLJ16363	
ADAMTS18		ADAMTS21
ADAMTS19		
ADAMTS19-AS1	RP11-346A9.1	
ADAMTS20	GON-1	
ADAMTSL1	ADAMTSR1	C9orf94
ADAMTSL1	FLJ35283	C9orf94
ADAMTSL2	KIAA0605	
ADAMTSL3	KIAA1233	
ADAMTSL3	punctin-2	
ADAMTSL4	DKFZP434K1772	TSRC1
ADAMTSL4-AS1	FLJ45786	C1orf138
ADAMTSL5		THSD6
ADAP1	GCS1L	CENTA1
ADAP2		CENTA2
ADAR	ADAR1	IFI4
ADAR	ADAR1	G1P1
ADARB1	ADAR2	
ADARB1	DRADA2	
ADARB1	ADAR2g	
ADARB1	DRABA2	
ADARB1	RED1	
ADARB1	hRED1	
ADARB1	ADAR2a-L1	
ADARB1	ADAR2a-L2	
ADARB1	ADAR2a-L3	
ADARB1	ADAR2a	
ADARB1	ADAR2b	
ADARB1	ADAR2c	
ADARB1	ADAR2d	
ADARB2	RED2	
ADARB2	hRED2	
ADARB2	ADAR3	
ADARB2-AS1	bA466B20.1	C10orf109
ADARB2-AS1	bA466B20.1	NCRNA00168
ADAT1		
ADAT2	dJ20N2.1	DEADC1
ADAT2	TAD2	DEADC1
ADAT3	TAD3	
ADCK1	FLJ39600	
ADCK2	MGC20727	
ADCK3	COQ8	CABC1
ADCK3	SCAR9	CABC1
ADCK4	FLJ12229	
ADCK4	COQ8	
ADCK5	FLJ35454	
ADCP1		
ADCY1	AC1	
ADCY2	HBAC2	
ADCY2	KIAA1060	
ADCY2	AC2	
ADCY3	AC3	
ADCY4	AC4	
ADCY5	AC5	
ADCY6	AC6	
ADCY7	KIAA0037	
ADCY7	AC7	
ADCY8	HBAC1	ADCY3
ADCY8	AC8	ADCY3
ADCY9	AC9	
ADCY10	SAC	
ADCY10	Sacy	
ADCY10	SACI	
ADCY10	HCA2	
ADCY10	RP1-313L4.2	
ADCY10P1		
ADCYAP1	PACAP	
ADCYAP1R1	PAC1	
ADCYAP1R1	PACAPR	
ADCYAP1R1	PAC1R	
ADD1		
ADD2	ADDB	
ADD3		ADDL
ADD3-AS1		
ADGB	FLJ23121	C6orf103
ADGB	dJ408K24.1	C6orf103
ADGB	CAPN16	C6orf103
ADGRA1	KIAA1828	GPR123
ADGRA1-AS1		GPR123-AS1
ADGRA2	TEM5	GPR124
ADGRA2	DKFZp434C211	GPR124
ADGRA2	DKFZp434J0911	GPR124
ADGRA2	KIAA1531	GPR124
ADGRA2	FLJ14390	GPR124
ADGRA3	FLJ38547	GPR125
ADGRA3	PGR21	GPR125
ADGRB1		BAI1
ADGRB2		BAI2
ADGRB3	KIAA0550	BAI3
ADGRD1	DKFZp434B1272	GPR133
ADGRD1	PGR25	GPR133
ADGRD2	PGR24	GPR144
ADGRE1		TM7LN3
ADGRE1		EMR1
ADGRE2	CD312	EMR2
ADGRE3		EMR3
ADGRE4P	PGR16	GPR127
ADGRE4P	PGR16	EMR4
ADGRE4P	PGR16	EMR4P
ADGRE5	TM7LN1	CD97
ADGRF1	hGPCR36	GPR110
ADGRF1	PGR19	GPR110
ADGRF2	hGPCR35	GPR111
ADGRF2	PGR20	GPR111
ADGRF3	hGPCR37	GPR113
ADGRF3	PGR23	GPR113
ADGRF4	FLJ38076	GPR115
ADGRF4	PGR18	GPR115
ADGRF5	DKFZp564O1923	GPR116
ADGRF5	KIAA0758	GPR116
ADGRF5P1		GPR116P1
ADGRF5P2		GPR116P2
ADGRG1	TM7LN4	GPR56
ADGRG1	TM7XN1	GPR56
ADGRG2	HE6	GPR64
ADGRG2	TM7LN2	GPR64
ADGRG2	EDDM6	GPR64
ADGRG3	Pb99	GPR97
ADGRG3	PGR26	GPR97
ADGRG4	RP1-299I16	GPR112
ADGRG4	PGR17	GPR112
ADGRG5	PGR27	GPR114
ADGRG6	FLJ14937	GPR126
ADGRG7	FLJ14454	GPR128
ADGRL1	KIAA0821	LPHN1
ADGRL1	CIRL1	LPHN1
ADGRL1	LEC2	LPHN1
ADGRL2	KIAA0786	LPHH1
ADGRL2	KIAA0786	LPHN2
ADGRL2	LEC1	LPHH1
ADGRL2	LEC1	LPHN2
ADGRL3	KIAA0768	LPHN3
ADGRL3	LEC3	LPHN3
ADGRL3-AS1		LPHN3-AS1
ADGRL4	ETL	ELTD1
ADGRV1	DKFZp761P0710	USH2C
ADGRV1	DKFZp761P0710	MASS1
ADGRV1	DKFZp761P0710	GPR98
ADGRV1	KIAA0686	USH2C
ADGRV1	KIAA0686	MASS1
ADGRV1	KIAA0686	GPR98
ADGRV1	FEB4	USH2C
ADGRV1	FEB4	MASS1
ADGRV1	FEB4	GPR98
ADGRV1	VLGR1	USH2C
ADGRV1	VLGR1	MASS1
ADGRV1	VLGR1	GPR98
ADH1A		ADH1
ADH1B		ADH2
ADH1C		ADH3
ADH4	ADH-2	
ADH5	ADH-3	FDH
ADH5	ADHX	FDH
ADH5P2		
ADH5P3		
ADH5P4	bA707M13.2	ADH5B
ADH6	ADH-5	
ADH7	ADH-4	
ADHFE1	ADHFe1	
ADHFE1	FLJ32430	
ADI1	SIPL	
ADI1	MTCBP-1	
ADI1	ARD	
ADI1	APL1	
ADI1	FLJ10913	
ADI1	HMFT1638	
ADI1	mtnD	
ADIG	MGC39724	
ADIG	SMAF1	
ADIG	RP5-1100H13.2	
ADIPOQ	ACRP30	ACDC
ADIPOQ	AdipoQ	ACDC
ADIPOQ	apM1	ACDC
ADIPOQ	GBP28	ACDC
ADIPOQ	adiponectin	ACDC
ADIPOQ-AS1		
ADIPOR1	PAQR1	
ADIPOR1	ACDCR1	
ADIPOR1P1		
ADIPOR1P2		
ADIPOR2	PAQR2	
ADIPOR2	ACDCR2	
ADIRF	APM2	C10orf116
ADIRF	AFRO	C10orf116
ADIRF-AS1		
ADK	AK	
ADM	AM	
ADM2	AM2	
ADM2	FLJ21135	
ADM5	AM5	C19orf76
ADNP	KIAA0784	
ADNP	ADNP1	
ADNP-AS1		
ADNP2	KIAA0863	ZNF508
ADO	FLJ14547	C10orf22
ADORA1	RDC7	
ADORA2A	RDC8	ADORA2
ADORA2A-AS1	FLJ34651	C22orf45
ADORA2B		
ADORA2BP1		ADORA2BP
